language,seconds,seed,ecapa_eer.ref,ecapa_eer.src,ecapa_speaker_similarity.ref.gen_vs_ref_mean,ecapa_speaker_similarity.ref.gt_pair_mean,ecapa_speaker_similarity.src.gen_vs_src_mean,ecapa_speaker_similarity.src.gt_pair_mean,redimnet_eer.ref,redimnet_eer.src,redimnet_speaker_similarity.ref.gen_vs_ref_mean,redimnet_speaker_similarity.ref.gt_pair_mean,redimnet_speaker_similarity.src.gen_vs_src_mean,redimnet_speaker_similarity.src.gt_pair_mean,dns_mos.gt_mean,dns_mos.gen_mean,wer.source_mean,wer.converted_mean,cer.source_mean,cer.converted_mean,num_items
spanish,10,37,0.13,0.02000000000000001,0.6460480690002441,0.8028640747070312,0.18243928253650665,0.7977491021156311,0.060000000000000026,0.0,0.5799609422683716,0.8305370807647705,0.14540603756904602,0.8231835961341858,3.922405958175659,3.8987011909484863,0.0868832990527153,0.1196526363492012,0.062349218875169754,0.044287823140621185,50
spanish,60,37,0.15000000000000002,0.0,0.6835958361625671,0.8272426128387451,0.19555391371250153,0.7826091051101685,0.08000000000000003,0.0,0.6272168159484863,0.8512988090515137,0.1635490208864212,0.811816394329071,3.9327449798583984,3.9358837604522705,0.040119584649801254,0.06757797300815582,0.021493559703230858,0.030934901908040047,50
spanish,30,73,0.24,0.0,0.6693947315216064,0.7897078990936279,0.19332103431224823,0.8091399669647217,0.13,0.0,0.6158984303474426,0.8248437643051147,0.15362052619457245,0.8338574171066284,3.8904807567596436,3.8996198177337646,0.04447365179657936,0.08862437307834625,0.013534246943891048,0.030290797352790833,50
spanish,30,42,0.16999999999999998,0.0,0.678739070892334,0.7996280789375305,0.1899222433567047,0.7950303554534912,0.09999999999999999,0.0,0.6285009980201721,0.8398827910423279,0.1501046121120453,0.8299121260643005,3.9600143432617188,3.9146084785461426,0.035668667405843735,0.08502881973981857,0.013141274452209473,0.03168892487883568,50
spanish,3,42,0.0,0.0,0.49086737632751465,0.8263313174247742,0.10900764167308807,0.8089503645896912,0.0,0.0,0.43284887075424194,0.8538045883178711,0.09408028423786163,0.8423848152160645,3.9286937713623047,3.5681545734405518,0.058309633284807205,0.3336613178253174,0.026784690096974373,0.16069510579109192,49
spanish,3,73,0.05000000000000002,0.0,0.4551584720611572,0.7979926466941833,0.1006813794374466,0.8003638386726379,0.03000000000000001,0.0,0.3916882276535034,0.822314441204071,0.07228831946849823,0.8369531035423279,3.979252815246582,3.4962875843048096,0.048370134085416794,0.41898635029792786,0.0235882718116045,0.22143763303756714,50
spanish,3,37,0.060000000000000026,0.0,0.4861311614513397,0.7980904579162598,0.1124669760465622,0.7911198139190674,0.04000000000000002,0.0,0.42029786109924316,0.8267871141433716,0.08971945941448212,0.8187890648841858,3.8929386138916016,3.554706335067749,0.04375164583325386,0.3943670392036438,0.017370039597153664,0.19309744238853455,50
spanish,30,37,0.16000000000000003,0.0,0.6733659505844116,0.8239039778709412,0.22947102785110474,0.803483784198761,0.04999999999999998,0.0,0.6224804520606995,0.8467578291893005,0.1801934838294983,0.8269238471984863,3.937490224838257,3.9351327419281006,0.04154230281710625,0.08455821871757507,0.018119750544428825,0.03315901756286621,50
spanish,60,42,0.17,0.0,0.6728817224502563,0.7948268055915833,0.1930123269557953,0.8083248138427734,0.11,0.0,0.6224951148033142,0.8277539014816284,0.16117553412914276,0.8377344012260437,3.9277706146240234,3.8856561183929443,0.048336755484342575,0.07748107612133026,0.018133996054530144,0.027692453935742378,50
spanish,60,73,0.16,0.0,0.681241512298584,0.8046324849128723,0.22506685554981232,0.7864927053451538,0.08999999999999998,0.0,0.6213037371635437,0.8359570503234863,0.2007475346326828,0.8244238495826721,3.8882153034210205,3.9327504634857178,0.10278905183076859,0.05721006914973259,0.06735631823539734,0.019509710371494293,50
