language,seconds,seed,ecapa_eer.ref,ecapa_eer.src,ecapa_speaker_similarity.ref.gen_vs_ref_mean,ecapa_speaker_similarity.ref.gt_pair_mean,ecapa_speaker_similarity.src.gen_vs_src_mean,ecapa_speaker_similarity.src.gt_pair_mean,redimnet_eer.ref,redimnet_eer.src,redimnet_speaker_similarity.ref.gen_vs_ref_mean,redimnet_speaker_similarity.ref.gt_pair_mean,redimnet_speaker_similarity.src.gen_vs_src_mean,redimnet_speaker_similarity.src.gt_pair_mean,dns_mos.gt_mean,dns_mos.gen_mean,wer.source_mean,wer.converted_mean,cer.source_mean,cer.converted_mean,num_items
spanish,10,37,0.04000000000000002,0.010000000000000009,0.4833736717700958,0.8028635382652283,0.1798989474773407,0.7977486252784729,0.010000000000000009,0.0,0.39253905415534973,0.8305566310882568,0.17336823046207428,0.8232031464576721,3.9224061965942383,3.7985291481018066,0.041258297860622406,0.08992703258991241,0.016753362491726875,0.033627189695835114,50
spanish,60,37,0.04000000000000002,0.0,0.4739267826080322,0.8272421360015869,0.15041932463645935,0.7826091051101685,0.0,0.0,0.37928953766822815,0.851318359375,0.15892043709754944,0.8117285370826721,3.9327447414398193,3.744661331176758,0.040119584649801254,0.09774389863014221,0.021493559703230858,0.044631361961364746,50
spanish,30,73,0.06999999999999998,0.02000000000000001,0.47457846999168396,0.7897075414657593,0.1759623885154724,0.8091399669647217,0.010000000000000009,0.0,0.3848632872104645,0.8248046636581421,0.16722992062568665,0.8338574171066284,3.8904807567596436,3.68599009513855,0.04447365179657936,0.11481568962335587,0.013534246943891048,0.04006947949528694,50
spanish,30,42,0.010000000000000009,0.0,0.4706529676914215,0.7996276021003723,0.15228824317455292,0.7950303554534912,0.0,0.0,0.4018847644329071,0.8398827910423279,0.1431703120470047,0.8299316167831421,3.9600143432617188,3.7474112510681152,0.035668667405843735,0.09351854026317596,0.013141274452209473,0.03682446852326393,50
spanish,3,42,0.0,0.0,0.4126366376876831,0.8251592516899109,0.14416852593421936,0.8086760640144348,0.0,0.0,0.3379492163658142,0.8531249761581421,0.15018372237682343,0.8414843678474426,3.9282584190368652,3.700734853744507,0.055797286331653595,0.0992041677236557,0.025240717455744743,0.039772793650627136,50
spanish,3,73,0.010000000000000009,0.01,0.41235557198524475,0.7979927062988281,0.14554928243160248,0.8003637790679932,0.0,0.0,0.3327954113483429,0.822314441204071,0.13836579024791718,0.8369336128234863,3.979252815246582,3.6681811809539795,0.04687013104557991,0.10113651305437088,0.02219938300549984,0.04103805497288704,50
spanish,3,37,0.03000000000000002,0.0,0.43876969814300537,0.7980904579162598,0.15779340267181396,0.7911197543144226,0.02000000000000001,0.0,0.3556884825229645,0.8268359303474426,0.1675531417131424,0.8188183307647705,3.8929386138916016,3.748542070388794,0.04375164583325386,0.12469761818647385,0.017370039597153664,0.05123486369848251,50
spanish,30,37,0.07999999999999999,0.0,0.476749062538147,0.8239045143127441,0.1786070019006729,0.803483247756958,0.02000000000000001,0.0,0.3880981504917145,0.8468261957168579,0.16364960372447968,0.826953113079071,3.937490224838257,3.7781612873077393,0.041066113859415054,0.10024219751358032,0.017926514148712158,0.04159405082464218,50
spanish,60,42,0.04000000000000002,0.0,0.46875083446502686,0.7948272228240967,0.14136788249015808,0.8083245754241943,0.020000000000000018,0.0,0.38629150390625,0.8277148604393005,0.14041653275489807,0.8377246260643005,3.9277706146240234,3.649061918258667,0.048336755484342575,0.11965382844209671,0.018133996054530144,0.047157250344753265,50
spanish,60,73,0.08000000000000003,0.0,0.45511993765830994,0.8046325445175171,0.17054422199726105,0.7864929437637329,0.02000000000000001,0.0,0.38428956270217896,0.8359668254852295,0.1790051907300949,0.824414074420929,3.8882153034210205,3.7253568172454834,0.09634892642498016,0.10051229596138,0.06416740268468857,0.03983446583151817,50
