language,seconds,seed,ecapa_eer.ref,ecapa_eer.src,ecapa_speaker_similarity.ref.gen_vs_ref_mean,ecapa_speaker_similarity.ref.gt_pair_mean,ecapa_speaker_similarity.src.gen_vs_src_mean,ecapa_speaker_similarity.src.gt_pair_mean,redimnet_eer.ref,redimnet_eer.src,redimnet_speaker_similarity.ref.gen_vs_ref_mean,redimnet_speaker_similarity.ref.gt_pair_mean,redimnet_speaker_similarity.src.gen_vs_src_mean,redimnet_speaker_similarity.src.gt_pair_mean,dns_mos.gt_mean,dns_mos.gen_mean,wer.source_mean,wer.converted_mean,cer.source_mean,cer.converted_mean,num_items
spanish,10,37,0.22999999999999998,0.0,0.7311403155326843,0.8028477430343628,0.1601165384054184,0.7977356910705566,0.06999999999999998,0.0,0.6793554425239563,0.8305468559265137,0.1379408985376358,0.8231347799301147,3.9232230186462402,3.8265395164489746,0.040633298456668854,0.0487498864531517,0.01685699075460434,0.015176024287939072,50
spanish,60,37,0.27,0.0,0.7367629408836365,0.8272318840026855,0.12975572049617767,0.7825908660888672,0.059999999999999984,0.0,0.7001562714576721,0.8513281345367432,0.13060642778873444,0.8117969036102295,3.9425690174102783,3.837099552154541,0.040119584649801254,0.05206584557890892,0.021493559703230858,0.024562261998653412,50
spanish,30,73,0.30000000000000004,0.0,0.7354814410209656,0.7897026538848877,0.127810537815094,0.8091302514076233,0.18999999999999997,0.0,0.6955419778823853,0.8247753977775574,0.12524932622909546,0.8338574171066284,3.8937501907348633,3.841585397720337,0.04447365179657936,0.07234030216932297,0.013534246943891048,0.033134061843156815,50
spanish,30,42,0.29000000000000004,0.0,0.7366988658905029,0.7996131777763367,0.14445430040359497,0.7950117588043213,0.18000000000000002,0.0,0.7063232660293579,0.839892566204071,0.12212434411048889,0.8298925757408142,3.9616146087646484,3.8579416275024414,0.035668667405843735,0.05024445056915283,0.013141274452209473,0.016795514151453972,50
spanish,3,42,0.060000000000000026,0.0,0.6320653557777405,0.8251497745513916,0.15023943781852722,0.8086740970611572,0.04000000000000002,0.0,0.5773339867591858,0.8531054854393005,0.13796363770961761,0.8414551019668579,3.927280902862549,3.6933698654174805,0.05954728648066521,0.06055830791592598,0.030007556080818176,0.02187146432697773,50
spanish,3,73,0.12,0.0,0.6265011429786682,0.7979880571365356,0.1536361277103424,0.8003492951393127,0.020000000000000018,0.0,0.562084972858429,0.8223046660423279,0.1406516283750534,0.8369531035423279,3.9737987518310547,3.6475582122802734,0.054870132356882095,0.04009975120425224,0.03026057779788971,0.018236340954899788,50
spanish,3,37,0.18000000000000002,0.02000000000000001,0.6478660702705383,0.7980820536613464,0.14866308867931366,0.7911054491996765,0.060000000000000026,0.0,0.5909472703933716,0.826855480670929,0.1394537389278412,0.8188086152076721,3.8855810165405273,3.7227776050567627,0.04375164583325386,0.06824097782373428,0.017370039597153664,0.03306110203266144,50
spanish,30,37,0.23,0.0,0.7311128973960876,0.8238928914070129,0.15960778295993805,0.8034746050834656,0.11,0.0,0.6929687261581421,0.8467480540275574,0.14779958128929138,0.8269140720367432,3.935983657836914,3.835099458694458,0.04154230281710625,0.05043956637382507,0.018119750544428825,0.019611867144703865,50
spanish,60,42,0.33999999999999997,0.0,0.7253797054290771,0.7948169112205505,0.10411472618579865,0.8083229660987854,0.15000000000000002,0.0,0.6879687309265137,0.8276953101158142,0.1058531180024147,0.837695300579071,3.9330849647521973,3.8187975883483887,0.048336755484342575,0.06338053196668625,0.018133996054530144,0.022067587822675705,50
spanish,60,73,0.25,0.0,0.7253015041351318,0.8046207427978516,0.1568247675895691,0.7864834666252136,0.07999999999999999,0.0,0.6891503930091858,0.8359765410423279,0.13712012767791748,0.824414074420929,3.8902511596679688,3.846059799194336,0.10445703566074371,0.04496821388602257,0.06742532551288605,0.014982916414737701,50
spanish,10,73,0.31999999999999995,0.03000000000000001,0.7290766835212708,0.8000602722167969,0.0985816940665245,0.7878650426864624,0.16000000000000003,0.0,0.6958056688308716,0.8369433879852295,0.09420039504766464,0.8141259551048279,3.967041015625,3.8162176609039307,0.045496366918087006,0.04683611914515495,0.0220346599817276,0.01721273921430111,50
spanish,10,42,0.21,0.0,0.6969247460365295,0.7929798364639282,0.12106525152921677,0.8015199303627014,0.17000000000000004,0.0,0.6483544707298279,0.8064355254173279,0.11948574334383011,0.8302832245826721,3.8838229179382324,3.798945665359497,0.04439295828342438,0.047744713723659515,0.02348237670958042,0.024842554703354836,50
french,10,37,0.35,0.02000000000000001,0.7187739610671997,0.7687429785728455,0.14129653573036194,0.7892927527427673,0.19999999999999998,0.02000000000000001,0.6624414324760437,0.7893945574760437,0.14186786115169525,0.7939794659614563,3.935981512069702,3.7538962364196777,0.0499066561460495,0.06057485193014145,0.030109474435448647,0.024849090725183487,50
french,60,37,0.24,0.0,0.7315011024475098,0.7951023578643799,0.1092434674501419,0.7681415677070618,0.19999999999999998,0.0,0.6864355206489563,0.8095507621765137,0.1241748034954071,0.7908691167831421,3.8645734786987305,3.8639299869537354,0.04904072359204292,0.07247912138700485,0.024116275832057,0.030840227380394936,50
french,30,73,0.31999999999999995,0.0,0.7219099402427673,0.7769882678985596,0.10433633625507355,0.7872219681739807,0.26,0.0,0.6837695240974426,0.7966406345367432,0.12368399649858475,0.7989941239356995,3.8949756622314453,3.9015750885009766,0.058343082666397095,0.07775884866714478,0.02836332842707634,0.03592797368764877,50
french,30,42,0.30999999999999994,0.0,0.7340656518936157,0.7892875075340271,0.13267138600349426,0.7843655943870544,0.12,0.0,0.6851269602775574,0.8129589557647705,0.14465804398059845,0.8062402606010437,3.8882458209991455,3.834925889968872,0.1075914204120636,0.10216940194368362,0.07650960981845856,0.058872923254966736,50
