metric,duration,method,value
similarity,3,knn-vc,0.4227
similarity,10,knn-vc,0.5701
similarity,30,knn-vc,0.6227
similarity,60,knn-vc,0.6319
similarity,3,oovc,0.3511
similarity,10,oovc,0.3805
similarity,30,oovc,0.3995
similarity,60,oovc,0.4081
similarity,3,palindrome-vc,0.5722
similarity,10,palindrome-vc,0.6698
similarity,30,palindrome-vc,0.6958
similarity,60,palindrome-vc,0.6845
similarity,3,seed-vc,0.6002
similarity,10,seed-vc,0.678
similarity,30,seed-vc,0.7301
similarity,60,seed-vc,0.729
similarity,3,vevo,0.5584
similarity,10,vevo,0.6666
similarity,30,vevo,0.6965
similarity,60,vevo,0.485
wer,3,knn-vc,0.5847072048
wer,10,knn-vc,0.2291202236
wer,30,knn-vc,0.1420730643
wer,60,knn-vc,0.1219779187
wer,3,oovc,0.1772172036
wer,10,oovc,0.171554718
wer,30,oovc,0.1651286454
wer,60,oovc,0.1776774004
wer,3,palindrome-vc,0.09165810439
wer,10,palindrome-vc,0.09237349495
wer,30,palindrome-vc,0.09602830027
wer,60,palindrome-vc,0.102278617
wer,3,seed-vc,0.1114852624
wer,10,seed-vc,0.1212793117
wer,30,seed-vc,0.1292902128
wer,60,seed-vc,0.1311261654
wer,3,vevo,0.09029453461
wer,10,vevo,0.09460679424
wer,30,vevo,0.09094831773
wer,60,vevo,0.164829995
dns-mos,3,knn-vc,3.453307095
dns-mos,10,knn-vc,3.757645403
dns-mos,30,knn-vc,3.836977675
dns-mos,60,knn-vc,3.84514577
dns-mos,3,oovc,3.661229054
dns-mos,10,oovc,3.678175597
dns-mos,30,oovc,3.680367958
dns-mos,60,oovc,3.674477123
dns-mos,3,palindrome-vc,3.618482397
dns-mos,10,palindrome-vc,3.70427403
dns-mos,30,palindrome-vc,3.75896598
dns-mos,60,palindrome-vc,3.7953351
dns-mos,3,seed-vc,3.843546549
dns-mos,10,seed-vc,3.850114981
dns-mos,30,seed-vc,3.840892111
dns-mos,60,seed-vc,3.832304966
dns-mos,3,vevo,3.9101117
dns-mos,10,vevo,3.880524374
dns-mos,30,vevo,3.849525202
dns-mos,60,vevo,3.026215088
