metric,duration,method,value
spk_sim,3,seed-vc,0.455
eer,3,seed-vc,0.007
wer,3,seed-vc,0.041
cer,3,seed-vc,0.019
mos,3,seed-vc,3.545
smos,3,seed-vc,3.2
spk_sim,10,seed-vc,0.578
eer,10,seed-vc,0.06
wer,10,seed-vc,0.042
cer,10,seed-vc,0.021
mos,10,seed-vc,3.0
smos,10,seed-vc,3.5
spk_sim,30,seed-vc,0.622
eer,30,seed-vc,0.083
wer,30,seed-vc,0.026
cer,30,seed-vc,0.011
mos,30,seed-vc,3.666
smos,30,seed-vc,3.583
spk_sim,60,seed-vc,0.63
eer,60,seed-vc,0.09
wer,60,seed-vc,0.033
cer,60,seed-vc,0.014
mos,60,seed-vc,3.4
smos,60,seed-vc,3.6
spk_sim,3,knn-vc,0.38
eer,3,knn-vc,0.033
wer,3,knn-vc,0.43
cer,3,knn-vc,0.277
mos,3,knn-vc,1.182
smos,3,knn-vc,1.5
spk_sim,10,knn-vc,0.552
eer,10,knn-vc,0.053
wer,10,knn-vc,0.115
cer,10,knn-vc,0.062
mos,10,knn-vc,2.588
smos,10,knn-vc,2.642
spk_sim,30,knn-vc,0.617
eer,30,knn-vc,0.07
wer,30,knn-vc,0.042
cer,30,knn-vc,0.018
mos,30,knn-vc,3.5
smos,30,knn-vc,3.5
spk_sim,60,knn-vc,0.631
eer,60,knn-vc,0.073
wer,60,knn-vc,0.046
cer,60,knn-vc,0.02
mos,60,knn-vc,3.0
smos,60,knn-vc,2.8
spk_sim,3,vevo,0.51
eer,3,vevo,0.047
wer,3,vevo,0.038
cer,3,vevo,0.013
mos,3,vevo,3.909
smos,3,vevo,4.1
spk_sim,10,vevo,0.639
eer,10,vevo,0.133
wer,10,vevo,0.033
cer,10,vevo,0.011
mos,10,vevo,3.765
smos,10,vevo,4.071
spk_sim,30,vevo,0.651
eer,30,vevo,0.093
wer,30,vevo,0.022
cer,30,vevo,0.007
mos,30,vevo,3.75
smos,30,vevo,3.75
spk_sim,60,vevo,0.332
eer,60,vevo,0.01
wer,60,vevo,0.197
cer,60,vevo,0.129
mos,60,vevo,1.3
smos,60,vevo,1.2
spk_sim,3,oovc,0.368
eer,3,oovc,0.01
wer,3,oovc,0.05
cer,3,oovc,0.018
mos,3,oovc,3.636
smos,3,oovc,3.5
spk_sim,10,oovc,0.419
eer,10,oovc,0.02
wer,10,oovc,0.036
cer,10,oovc,0.019
mos,10,oovc,3.588
smos,10,oovc,4.071
spk_sim,30,oovc,0.431
eer,30,oovc,0.007
wer,30,oovc,0.038
cer,30,oovc,0.013
mos,30,oovc,3.583
smos,30,oovc,3.666
spk_sim,60,oovc,0.453
eer,60,oovc,0.01
wer,60,oovc,0.031
cer,60,oovc,0.012
mos,60,oovc,3.8
smos,60,oovc,3.1
spk_sim,3,palindrome-vc,0.612
eer,3,palindrome-vc,0.097
wer,3,palindrome-vc,0.056
cer,3,palindrome-vc,0.023
mos,3,palindrome-vc,3.455
smos,3,palindrome-vc,3.3
spk_sim,10,palindrome-vc,0.713
eer,10,palindrome-vc,0.18
wer,10,palindrome-vc,0.049
cer,10,palindrome-vc,0.022
mos,10,palindrome-vc,3.647
smos,10,palindrome-vc,4.0
spk_sim,30,palindrome-vc,0.717
eer,30,palindrome-vc,0.17
wer,30,palindrome-vc,0.047
cer,30,palindrome-vc,0.019
mos,30,palindrome-vc,3.666
smos,30,palindrome-vc,3.583
spk_sim,60,palindrome-vc,0.712
eer,60,palindrome-vc,0.15
wer,60,palindrome-vc,0.05
cer,60,palindrome-vc,0.021
mos,60,palindrome-vc,3.8
smos,60,palindrome-vc,3.3
