metric,duration,method,value
spk_sim,3,knn-vc,0.46724019447962445
spk_sim,10,knn-vc,0.6232926448186239
spk_sim,30,knn-vc,0.6767008503278097
spk_sim,60,knn-vc,0.6807047526041666
spk_sim,3,oovc,0.40881551305452984
spk_sim,10,oovc,0.42678141593933105
spk_sim,30,oovc,0.45261068145434064
spk_sim,60,oovc,0.4485433002312978
spk_sim,3,palindrome-vc,0.6019335985183716
spk_sim,10,palindrome-vc,0.6907844940821329
spk_sim,30,palindrome-vc,0.7129150231679281
spk_sim,60,palindrome-vc,0.7023307085037231
spk_sim,3,seed-vc,0.6065348386764526
spk_sim,10,seed-vc,0.6830973029136658
spk_sim,30,seed-vc,0.7366389830907186
spk_sim,60,seed-vc,0.7292219996452332
spk_sim,3,vevo,0.583740234375
spk_sim,10,vevo,0.6790201862653097
spk_sim,30,vevo,0.707044263680776
spk_sim,60,vevo,0.49732258915901184
eer,3,knn-vc,0.023333333333333345
eer,10,knn-vc,0.09666666666666668
eer,30,knn-vc,0.25333333333333335
eer,60,knn-vc,0.22666666666666666
eer,3,oovc,0.003333333333333336
eer,10,oovc,0.03666666666666668
eer,30,oovc,0.026666666666666682
eer,60,oovc,0.006666666666666672
eer,3,palindrome-vc,0.10333333333333335
eer,10,palindrome-vc,0.20000000000000004
eer,30,palindrome-vc,0.30333333333333334
eer,60,palindrome-vc,0.2066666666666667
eer,3,seed-vc,0.11000000000000003
eer,10,seed-vc,0.18999999999999997
eer,30,seed-vc,0.3633333333333333
eer,60,seed-vc,0.27666666666666667
eer,3,vevo,0.08666666666666668
eer,10,vevo,0.17
eer,30,vevo,0.29000000000000004
eer,60,vevo,0.02000000000000001
wer,3,knn-vc,0.6062633593877157
wer,10,knn-vc,0.2705351710319519
wer,30,knn-vc,0.15636933843294779
wer,60,knn-vc,0.14151940494775772
wer,3,oovc,0.20724913974603018
wer,10,oovc,0.1989696075518926
wer,30,oovc,0.19448213775952658
wer,60,oovc,0.20274187127749124
wer,3,palindrome-vc,0.12315317988395691
wer,10,palindrome-vc,0.1317363679409027
wer,30,palindrome-vc,0.12098060548305511
wer,60,palindrome-vc,0.12494631856679916
wer,3,seed-vc,0.16174817581971487
wer,10,seed-vc,0.1575865000486374
wer,30,seed-vc,0.18214467664559683
wer,60,seed-vc,0.1532710293928782
wer,3,vevo,0.11887380729118983
wer,10,vevo,0.13129241267840067
wer,30,vevo,0.12384525934855144
wer,60,vevo,0.19201619923114777
cer,3,knn-vc,0.330923726161321
cer,10,knn-vc,0.11245617270469666
cer,30,knn-vc,0.05706776802738508
cer,60,knn-vc,0.04834259549776713
cer,3,oovc,0.08883225917816162
cer,10,oovc,0.07689745475848515
cer,30,oovc,0.07711643228928249
cer,60,oovc,0.08614440262317657
cer,3,palindrome-vc,0.04233467827240626
cer,10,palindrome-vc,0.04595957572261492
cer,30,palindrome-vc,0.042210690677165985
cer,60,palindrome-vc,0.03752587363123894
cer,3,seed-vc,0.08432096242904663
cer,10,seed-vc,0.0728800098101298
cer,30,seed-vc,0.0980689711868763
cer,60,seed-vc,0.06621139869093895
cer,3,vevo,0.038741505394379296
cer,10,vevo,0.04302730287114779
cer,30,vevo,0.039681329081455864
cer,60,vevo,0.07718088974555333
dns-mos,3,knn-vc,3.36426051457723
dns-mos,10,knn-vc,3.611907879511515
dns-mos,30,knn-vc,3.6980179945627847
dns-mos,60,knn-vc,3.692791302998861
dns-mos,3,oovc,3.6219124794006348
dns-mos,10,oovc,3.6092306772867837
dns-mos,30,oovc,3.618844985961914
dns-mos,60,oovc,3.636173725128174
dns-mos,3,palindrome-vc,3.4946263631184897
dns-mos,10,palindrome-vc,3.563016176223755
dns-mos,30,palindrome-vc,3.606484333674113
dns-mos,60,palindrome-vc,3.6469677289326987
dns-mos,3,seed-vc,3.825978994369507
dns-mos,10,seed-vc,3.8242247104644775
dns-mos,30,seed-vc,3.809835195541382
dns-mos,60,seed-vc,3.820878823598226
dns-mos,3,vevo,3.8682587146759033
dns-mos,10,vevo,3.8144097328186035
dns-mos,30,vevo,3.79345703125
dns-mos,60,vevo,2.9348137378692627
