metric,duration,method,value
spk_sim,3,knn-vc,0.4170071880022685
spk_sim,10,knn-vc,0.559765636920929
spk_sim,30,knn-vc,0.6137955586115519
spk_sim,60,knn-vc,0.6410253842671713
spk_sim,3,oovc,0.3275580902894338
spk_sim,10,oovc,0.37591104706128436
spk_sim,30,oovc,0.3954060872395833
spk_sim,60,oovc,0.4195605417092641
spk_sim,3,palindrome-vc,0.5440128644307455
spk_sim,10,palindrome-vc,0.6486767530441284
spk_sim,30,palindrome-vc,0.6818131605784098
spk_sim,60,palindrome-vc,0.6793228983879089
spk_sim,3,seed-vc,0.5757723053296407
spk_sim,10,seed-vc,0.6570914586385092
spk_sim,30,seed-vc,0.7114811142285665
spk_sim,60,seed-vc,0.7242936094601949
spk_sim,3,vevo,0.5441219210624695
spk_sim,10,vevo,0.6604085365931193
spk_sim,30,vevo,0.6961035132408142
spk_sim,60,vevo,0.4929736355940501
eer,3,knn-vc,0.020000000000000007
eer,10,knn-vc,0.07666666666666667
eer,30,knn-vc,0.10666666666666669
eer,60,knn-vc,0.12
eer,3,oovc,0.003333333333333336
eer,10,oovc,0.0
eer,30,oovc,0.013333333333333341
eer,60,oovc,0.030000000000000016
eer,3,palindrome-vc,0.053333333333333365
eer,10,palindrome-vc,0.18666666666666668
eer,30,palindrome-vc,0.19666666666666666
eer,60,palindrome-vc,0.17333333333333334
eer,3,seed-vc,0.07333333333333336
eer,10,seed-vc,0.20999999999999996
eer,30,seed-vc,0.2733333333333334
eer,60,seed-vc,0.27666666666666667
eer,3,vevo,0.06000000000000003
eer,10,vevo,0.21666666666666667
eer,30,vevo,0.26333333333333336
eer,60,vevo,0.053333333333333344
wer,3,knn-vc,0.6725336909294128
wer,10,knn-vc,0.21404521663983664
wer,30,knn-vc,0.14218186338742575
wer,60,knn-vc,0.10584554076194763
wer,3,oovc,0.1952733447154363
wer,10,oovc,0.16222565869490305
wer,30,oovc,0.1617326190074285
wer,60,oovc,0.16410905619462332
wer,3,palindrome-vc,0.08878832558790843
wer,10,palindrome-vc,0.07319946338733037
wer,30,palindrome-vc,0.09050873915354411
wer,60,palindrome-vc,0.08346775422493617
wer,3,seed-vc,0.1135708640019099
wer,10,seed-vc,0.1321044092377027
wer,30,seed-vc,0.13392836103836694
wer,60,seed-vc,0.10047284265359242
wer,3,vevo,0.08835494518280029
wer,10,vevo,0.07892969002326329
wer,30,vevo,0.09590761611859004
wer,60,vevo,0.12358145415782928
cer,3,knn-vc,0.4181867837905884
cer,10,knn-vc,0.11451995372772217
cer,30,knn-vc,0.07508897533019383
cer,60,knn-vc,0.06066606566309929
cer,3,oovc,0.10258810470501582
cer,10,oovc,0.08236307154099147
cer,30,oovc,0.0807377224167188
cer,60,oovc,0.09198374549547832
cer,3,palindrome-vc,0.04459808642665545
cer,10,palindrome-vc,0.03649406631787618
cer,30,palindrome-vc,0.04852371662855148
cer,60,palindrome-vc,0.0393158725152413
cer,3,seed-vc,0.06410441920161247
cer,10,seed-vc,0.09776754925648372
cer,30,seed-vc,0.0901021162668864
cer,60,seed-vc,0.05419441064198812
cer,3,vevo,0.04046590502063433
cer,10,vevo,0.04184788651764393
cer,30,vevo,0.05199609696865082
cer,60,vevo,0.07357751081387202
dns-mos,3,knn-vc,3.497522751490275
dns-mos,10,knn-vc,3.8262303670247397
dns-mos,30,knn-vc,3.90099835395813
dns-mos,60,knn-vc,3.92767604192098
dns-mos,3,oovc,3.7079524199167886
dns-mos,10,oovc,3.7443149089813232
dns-mos,30,oovc,3.75913135210673
dns-mos,60,oovc,3.77022918065389
dns-mos,3,palindrome-vc,3.708935578664144
dns-mos,10,palindrome-vc,3.7761381467183432
dns-mos,30,palindrome-vc,3.853844324747721
dns-mos,60,palindrome-vc,3.8831214110056558
dns-mos,3,seed-vc,3.8667213122049966
dns-mos,10,seed-vc,3.8805386225382485
dns-mos,30,seed-vc,3.8876123428344727
dns-mos,60,seed-vc,3.8738536834716797
dns-mos,3,vevo,3.9367475509643555
dns-mos,10,vevo,3.9189738432566323
dns-mos,30,vevo,3.912976026535034
dns-mos,60,vevo,3.05076797803243
