metric,duration,method,value
spk_sim,3,knn-vc,0.4368603527545929
spk_sim,10,knn-vc,0.5911669929822286
spk_sim,30,knn-vc,0.6505208412806193
spk_sim,60,knn-vc,0.6500683625539144
spk_sim,3,oovc,0.38338297605514526
spk_sim,10,oovc,0.4052026371161143
spk_sim,30,oovc,0.4322534203529358
spk_sim,60,oovc,0.4376537998517354
spk_sim,3,palindrome-vc,0.5817203720410665
spk_sim,10,palindrome-vc,0.6853043635686239
spk_sim,30,palindrome-vc,0.7139143943786621
spk_sim,60,palindrome-vc,0.6866878469785055
spk_sim,3,seed-vc,0.6059537728627523
spk_sim,10,seed-vc,0.6929361820220947
spk_sim,30,seed-vc,0.744371751944224
spk_sim,60,seed-vc,0.7304736375808716
spk_sim,3,vevo,0.5581608017285665
spk_sim,10,vevo,0.6775341828664144
spk_sim,30,vevo,0.7058756550153097
spk_sim,60,vevo,0.4866292377312978
eer,3,knn-vc,0.026666666666666682
eer,10,knn-vc,0.04666666666666669
eer,30,knn-vc,0.13333333333333333
eer,60,knn-vc,0.15666666666666665
eer,3,oovc,0.0066666666666666706
eer,10,oovc,0.0
eer,30,oovc,0.0066666666666666706
eer,60,oovc,0.013333333333333341
eer,3,palindrome-vc,0.1366666666666667
eer,10,palindrome-vc,0.1666666666666667
eer,30,palindrome-vc,0.22999999999999998
eer,60,palindrome-vc,0.21
eer,3,seed-vc,0.15000000000000002
eer,10,seed-vc,0.2233333333333333
eer,30,seed-vc,0.29666666666666663
eer,60,seed-vc,0.2833333333333333
eer,3,vevo,0.12666666666666668
eer,10,vevo,0.15333333333333332
eer,30,vevo,0.21333333333333335
eer,60,vevo,0.04000000000000002
wer,3,knn-vc,0.5687407851219177
wer,10,knn-vc,0.21137945353984833
wer,30,knn-vc,0.12436764190594356
wer,60,knn-vc,0.1188617820541064
wer,3,oovc,0.12311759839455287
wer,10,oovc,0.12629895408948263
wer,30,oovc,0.12481743345657985
wer,60,oovc,0.13629127542177835
wer,3,palindrome-vc,0.07493137071530025
wer,10,palindrome-vc,0.08370130012432735
wer,30,palindrome-vc,0.08750698467095692
wer,60,palindrome-vc,0.09710877885421117
wer,3,seed-vc,0.10049786667029063
wer,10,seed-vc,0.1344562197724978
wer,30,seed-vc,0.15894865492979685
wer,60,seed-vc,0.19327626128991446
wer,3,vevo,0.07040161887804668
wer,10,vevo,0.08326165874799092
wer,30,vevo,0.07267513871192932
wer,60,vevo,0.1651054968436559
cer,3,knn-vc,0.3119264543056488
cer,10,knn-vc,0.09661025802294414
cer,30,knn-vc,0.05187881489594778
cer,60,knn-vc,0.05581233277916908
cer,3,oovc,0.04890192920962969
cer,10,oovc,0.051389349003632866
cer,30,oovc,0.051170257230599724
cer,60,oovc,0.06345674023032188
cer,3,palindrome-vc,0.03187138649324576
cer,10,palindrome-vc,0.036900115509827934
cer,30,palindrome-vc,0.03837071234981219
cer,60,palindrome-vc,0.044666403283675514
cer,3,seed-vc,0.055162412424882255
cer,10,seed-vc,0.08331532031297684
cer,30,seed-vc,0.10307043169935544
cer,60,seed-vc,0.13156472146511078
cer,3,vevo,0.03016996632019679
cer,10,vevo,0.03760474051038424
cer,30,vevo,0.031805391112963356
cer,60,vevo,0.085745503505071
dns-mos,3,knn-vc,3.357278903325399
dns-mos,10,knn-vc,3.6901110808054605
dns-mos,30,knn-vc,3.7548699378967285
dns-mos,60,knn-vc,3.7967655658721924
dns-mos,3,oovc,3.6030756632486978
dns-mos,10,oovc,3.6637844244639077
dns-mos,30,oovc,3.6608521938323975
dns-mos,60,oovc,3.62643035252889
dns-mos,3,palindrome-vc,3.5724788506825766
dns-mos,10,palindrome-vc,3.6644633611043296
dns-mos,30,palindrome-vc,3.7180802822113037
dns-mos,60,palindrome-vc,3.7758981386820474
dns-mos,3,seed-vc,3.764526685078939
dns-mos,10,seed-vc,3.814819812774658
dns-mos,30,seed-vc,3.7997728188832602
dns-mos,60,seed-vc,3.7840052445729575
dns-mos,3,vevo,3.8642822901407876
dns-mos,10,vevo,3.856959581375122
dns-mos,30,vevo,3.801260471343994
dns-mos,60,vevo,3.0116004943847656
