metric,duration,method,value
spk_sim,3,knn-vc,0.4164021114508311
spk_sim,10,knn-vc,0.5493621826171875
spk_sim,30,knn-vc,0.6043119430541992
spk_sim,60,knn-vc,0.6185029943784078
spk_sim,3,oovc,0.3169930974642436
spk_sim,10,oovc,0.34671743710835773
spk_sim,30,oovc,0.35983378688494366
spk_sim,60,oovc,0.35942092537879944
spk_sim,3,palindrome-vc,0.5580873489379883
spk_sim,10,palindrome-vc,0.6351452668507894
spk_sim,30,palindrome-vc,0.6661980549494425
spk_sim,60,palindrome-vc,0.6616784334182739
spk_sim,3,seed-vc,0.5877065261205038
spk_sim,10,seed-vc,0.653022050857544
spk_sim,30,seed-vc,0.7052994767824808
spk_sim,60,seed-vc,0.7116660475730896
spk_sim,3,vevo,0.5560827652613322
spk_sim,10,vevo,0.6490543683369955
spk_sim,30,vevo,0.6800390481948853
spk_sim,60,vevo,0.47594156861305237
eer,3,knn-vc,0.09740917643653207
eer,10,knn-vc,0.12666666666666668
eer,30,knn-vc,0.20000000000000004
eer,60,knn-vc,0.1466666666666667
eer,3,oovc,0.040000000000000015
eer,10,oovc,0.03000000000000001
eer,30,oovc,0.0666666666666667
eer,60,oovc,0.04333333333333336
eer,3,palindrome-vc,0.14
eer,10,palindrome-vc,0.20000000000000004
eer,30,palindrome-vc,0.24000000000000002
eer,60,palindrome-vc,0.15666666666666665
eer,3,seed-vc,0.1633333333333333
eer,10,seed-vc,0.21666666666666667
eer,30,seed-vc,0.35000000000000003
eer,60,seed-vc,0.24333333333333332
eer,3,vevo,0.1166666666666667
eer,10,vevo,0.17666666666666667
eer,30,vevo,0.2833333333333333
eer,60,vevo,0.10333333333333332
wer,3,knn-vc,0.6491825580596924
wer,10,knn-vc,0.3049375116825104
wer,30,knn-vc,0.1874771217505137
wer,60,knn-vc,0.19380881388982138
wer,3,oovc,0.24659790098667145
wer,10,oovc,0.26311537623405457
wer,30,oovc,0.22271921237309775
wer,60,oovc,0.26922886570294696
wer,3,palindrome-vc,0.13693645596504211
wer,10,palindrome-vc,0.1473363588253657
wer,30,palindrome-vc,0.13161558409531912
wer,60,palindrome-vc,0.16624419391155243
wer,3,seed-vc,0.16049919029076895
wer,10,seed-vc,0.15547416110833487
wer,30,seed-vc,0.13884848852952322
wer,60,seed-vc,0.17556831737359366
wer,3,vevo,0.13649817804495493
wer,10,vevo,0.14496458073457083
wer,30,vevo,0.12351761509974797
wer,60,vevo,0.25028327107429504
cer,3,knn-vc,0.3085678815841675
cer,10,knn-vc,0.10523174951473872
cer,30,knn-vc,0.05531346673766772
cer,60,knn-vc,0.057636248568693794
cer,3,oovc,0.07753610859314601
cer,10,oovc,0.08845958610375722
cer,30,oovc,0.07373974472284317
cer,60,oovc,0.08953056981166203
cer,3,palindrome-vc,0.03811751678586006
cer,10,palindrome-vc,0.04377447565396627
cer,30,palindrome-vc,0.038916800171136856
cer,60,palindrome-vc,0.047823987901210785
cer,3,seed-vc,0.0542866513133049
cer,10,seed-vc,0.0482217992345492
cer,30,seed-vc,0.04817842195431391
cer,60,seed-vc,0.05880003422498703
cer,3,vevo,0.03553872058788935
cer,10,vevo,0.038192120691140495
cer,30,vevo,0.03531138723095258
cer,60,vevo,0.0838278556863467
dns-mos,3,knn-vc,3.482673247655233
dns-mos,10,knn-vc,3.769257148106893
dns-mos,30,knn-vc,3.870595693588257
dns-mos,60,knn-vc,3.8857155640920005
dns-mos,3,oovc,3.703698476155599
dns-mos,10,oovc,3.681741158167521
dns-mos,30,oovc,3.691441615422567
dns-mos,60,oovc,3.6890597343444824
dns-mos,3,palindrome-vc,3.6327815850575766
dns-mos,10,palindrome-vc,3.6924842993418374
dns-mos,30,palindrome-vc,3.771153688430786
dns-mos,60,palindrome-vc,3.826117992401123
dns-mos,3,seed-vc,3.8463735580444336
dns-mos,10,seed-vc,3.809412638346354
dns-mos,30,seed-vc,3.8032455444335938
dns-mos,60,seed-vc,3.8215641180674234
dns-mos,3,vevo,3.898155371348063
dns-mos,10,vevo,3.831800858179728
dns-mos,30,vevo,3.8031105200449624
dns-mos,60,vevo,3.000631888707479
