metric,duration,method,value
spk_sim,3,knn-vc,0.41954002777735394
spk_sim,10,knn-vc,0.5610302686691284
spk_sim,30,knn-vc,0.6122526129086813
spk_sim,60,knn-vc,0.6235465407371521
spk_sim,3,oovc,0.3932226498921712
spk_sim,10,oovc,0.41222818692525226
spk_sim,30,oovc,0.4382373094558716
spk_sim,60,oovc,0.45974284410476685
spk_sim,3,palindrome-vc,0.6069482366243998
spk_sim,10,palindrome-vc,0.7007910013198853
spk_sim,30,palindrome-vc,0.7260351578394572
spk_sim,60,palindrome-vc,0.7146744728088379
spk_sim,3,seed-vc,0.6218733787536621
spk_sim,10,seed-vc,0.682752271493276
spk_sim,30,seed-vc,0.7360774874687195
spk_sim,60,seed-vc,0.7356477975845337
spk_sim,3,vevo,0.6013297637303671
spk_sim,10,vevo,0.683544913927714
spk_sim,30,vevo,0.7136995593706766
spk_sim,60,vevo,0.48129720489184064
eer,3,knn-vc,0.00694444444444445
eer,10,knn-vc,0.03333333333333335
eer,30,knn-vc,0.07333333333333335
eer,60,knn-vc,0.11000000000000003
eer,3,oovc,0.010000000000000004
eer,10,oovc,0.0066666666666666706
eer,30,oovc,0.0066666666666666706
eer,60,oovc,0.0066666666666666706
eer,3,palindrome-vc,0.07333333333333335
eer,10,palindrome-vc,0.18000000000000002
eer,30,palindrome-vc,0.19666666666666666
eer,60,palindrome-vc,0.21999999999999997
eer,3,seed-vc,0.11333333333333333
eer,10,seed-vc,0.1666666666666667
eer,30,seed-vc,0.29000000000000004
eer,60,seed-vc,0.29
eer,3,vevo,0.08333333333333333
eer,10,vevo,0.16000000000000003
eer,30,vevo,0.19333333333333333
eer,60,vevo,0.010000000000000004
wer,3,knn-vc,0.5770148038864136
wer,10,knn-vc,0.20910210410753885
wer,30,knn-vc,0.12014712393283844
wer,60,knn-vc,0.0888838345805804
wer,3,oovc,0.150410329302152
wer,10,oovc,0.16678078969319662
wer,30,oovc,0.15225335458914438
wer,60,oovc,0.1594217816988627
wer,3,palindrome-vc,0.06990776459376018
wer,10,palindrome-vc,0.06814928973714511
wer,30,palindrome-vc,0.07527824491262436
wer,60,palindrome-vc,0.08169236158331235
wer,3,seed-vc,0.07745108008384705
wer,10,seed-vc,0.09350275248289108
wer,30,seed-vc,0.08713651945193608
wer,60,seed-vc,0.10035565495491028
wer,3,vevo,0.06867282216747601
wer,10,vevo,0.07456820954879124
wer,30,vevo,0.063711562504371
wer,60,vevo,0.16015611588954926
cer,3,knn-vc,0.27234145005544025
cer,10,knn-vc,0.06383715569972992
cer,30,knn-vc,0.03283731949826082
cer,60,knn-vc,0.022376118848721187
cer,3,oovc,0.04784267395734787
cer,10,oovc,0.04870625212788582
cer,30,oovc,0.045930797855059304
cer,60,oovc,0.04975116873780886
cer,3,palindrome-vc,0.016796390215555828
cer,10,palindrome-vc,0.015045417472720146
cer,30,palindrome-vc,0.02054334556063016
cer,60,palindrome-vc,0.026092658440272015
cer,3,seed-vc,0.024500271926323574
cer,10,seed-vc,0.02964864733318488
cer,30,seed-vc,0.032647350803017616
cer,60,seed-vc,0.03431832976639271
cer,3,vevo,0.0158148097495238
cer,10,vevo,0.015677897570033867
cer,30,vevo,0.01961945928633213
cer,60,vevo,0.051577637592951454
dns-mos,3,knn-vc,3.484557628631592
dns-mos,10,knn-vc,3.7606612841288247
dns-mos,30,knn-vc,3.8494609196980796
dns-mos,60,knn-vc,3.847226937611898
dns-mos,3,oovc,3.6598313649495444
dns-mos,10,oovc,3.659178892771403
dns-mos,30,oovc,3.678276697794596
dns-mos,60,oovc,3.675283988316854
dns-mos,3,palindrome-vc,3.610950152079264
dns-mos,10,palindrome-vc,3.6852317651112876
dns-mos,30,palindrome-vc,3.762873967488607
dns-mos,60,palindrome-vc,3.7964092095692954
dns-mos,3,seed-vc,3.8580854733784995
dns-mos,10,seed-vc,3.8528117338816323
dns-mos,30,seed-vc,3.88887619972229
dns-mos,60,seed-vc,3.8718442916870117
dns-mos,3,vevo,3.9564362366994223
dns-mos,10,vevo,3.9370506604512534
dns-mos,30,vevo,3.9070329666137695
dns-mos,60,vevo,3.048201243082682
