metric,duration,method,value
spk_sim,3,knn-vc,0.38685988386472064
spk_sim,10,knn-vc,0.5316332976023356
spk_sim,30,knn-vc,0.5792683959007263
spk_sim,60,knn-vc,0.5857552091280619
spk_sim,3,oovc,0.2858935793240865
spk_sim,10,oovc,0.31666667262713116
spk_sim,30,oovc,0.32678629954655963
spk_sim,60,oovc,0.34823445479075116
spk_sim,3,palindrome-vc,0.5355826814969381
spk_sim,10,palindrome-vc,0.6531429092089335
spk_sim,30,palindrome-vc,0.671617845694224
spk_sim,60,palindrome-vc,0.6543636123339335
spk_sim,3,seed-vc,0.6066796779632568
spk_sim,10,seed-vc,0.6960400342941284
spk_sim,30,seed-vc,0.7342187563578287
spk_sim,60,seed-vc,0.7290966908137003
spk_sim,3,vevo,0.5283593734105428
spk_sim,10,vevo,0.6642041007677714
spk_sim,30,vevo,0.6891536513964335
spk_sim,60,vevo,0.4883740246295929
eer,3,knn-vc,0.013605442176870755
eer,10,knn-vc,0.03333333333333335
eer,30,knn-vc,0.07333333333333335
eer,60,knn-vc,0.07333333333333335
eer,3,oovc,0.0
eer,10,oovc,0.0066666666666666706
eer,30,oovc,0.0066666666666666706
eer,60,oovc,0.010000000000000007
eer,3,palindrome-vc,0.04666666666666668
eer,10,palindrome-vc,0.12
eer,30,palindrome-vc,0.11333333333333333
eer,60,palindrome-vc,0.1466666666666667
eer,3,seed-vc,0.06333333333333331
eer,10,seed-vc,0.12666666666666668
eer,30,seed-vc,0.18333333333333335
eer,60,seed-vc,0.26
eer,3,vevo,0.060000000000000026
eer,10,vevo,0.12666666666666668
eer,30,vevo,0.11666666666666665
eer,60,vevo,0.03333333333333335
wer,3,knn-vc,0.6368770003318787
wer,10,knn-vc,0.25667322675387066
wer,30,knn-vc,0.17789789040883383
wer,60,knn-vc,0.13750301549832025
wer,3,oovc,0.20952601234118143
wer,10,oovc,0.18476226925849915
wer,30,oovc,0.1970369517803192
wer,60,oovc,0.20597894489765167
wer,3,palindrome-vc,0.09158995499213536
wer,10,palindrome-vc,0.09471477816502254
wer,30,palindrome-vc,0.10863317052523296
wer,60,palindrome-vc,0.10901938130458196
wer,3,seed-vc,0.09999529272317886
wer,10,seed-vc,0.11839149643977483
wer,30,seed-vc,0.12200893958409627
wer,60,seed-vc,0.11035129427909851
wer,3,vevo,0.09473617126544316
wer,10,vevo,0.10302649935086568
wer,30,vevo,0.10251923402150472
wer,60,vevo,0.16508452594280243
cer,3,knn-vc,0.35819801688194275
cer,10,knn-vc,0.11521107703447342
cer,30,knn-vc,0.07614271342754364
cer,60,knn-vc,0.05738179013133049
cer,3,oovc,0.09406361480553944
cer,10,oovc,0.0857327754298846
cer,30,oovc,0.08813002457221349
cer,60,oovc,0.09375098596016566
cer,3,palindrome-vc,0.03394110624988874
cer,10,palindrome-vc,0.03855399166544279
cer,30,palindrome-vc,0.041028680900732674
cer,60,palindrome-vc,0.04431241378188133
cer,3,seed-vc,0.036805663257837296
cer,10,seed-vc,0.05913838371634483
cer,30,seed-vc,0.053868585576613746
cer,60,seed-vc,0.047253755231698356
cer,3,vevo,0.030755493169029553
cer,10,vevo,0.039510649939378105
cer,30,vevo,0.036389547089735665
cer,60,vevo,0.07166722416877747
dns-mos,3,knn-vc,3.4471404552459717
dns-mos,10,knn-vc,3.7835041681925454
dns-mos,30,knn-vc,3.8684471448262534
dns-mos,60,knn-vc,3.8477482000986734
dns-mos,3,oovc,3.6263136068979898
dns-mos,10,oovc,3.6381693681081138
dns-mos,30,oovc,3.6168413162231445
dns-mos,60,oovc,3.617802858352661
dns-mos,3,palindrome-vc,3.6217023531595864
dns-mos,10,palindrome-vc,3.7346835136413574
dns-mos,30,palindrome-vc,3.7554497718811035
dns-mos,60,palindrome-vc,3.8048455715179443
dns-mos,3,seed-vc,3.8234541416168213
dns-mos,10,seed-vc,3.834042231241862
dns-mos,30,seed-vc,3.804086923599243
dns-mos,60,seed-vc,3.7743277549743652
dns-mos,3,vevo,3.865377108256022
dns-mos,10,vevo,3.847646474838257
dns-mos,30,vevo,3.8144690990448
dns-mos,60,vevo,3.0517125924428306
