metric,duration,method,value
spk_sim,3,knn-vc,0.4149449865023295
spk_sim,10,knn-vc,0.5742626984914144
spk_sim,30,knn-vc,0.6222932934761047
spk_sim,60,knn-vc,0.6236718893051147
spk_sim,3,oovc,0.3421443700790405
spk_sim,10,oovc,0.3802539010842641
spk_sim,30,oovc,0.39161540071169537
spk_sim,60,oovc,0.38329020142555237
spk_sim,3,palindrome-vc,0.5767887433369955
spk_sim,10,palindrome-vc,0.6745051940282186
spk_sim,30,palindrome-vc,0.698277990023295
spk_sim,60,palindrome-vc,0.6924251317977905
spk_sim,3,seed-vc,0.5967211922009786
spk_sim,10,seed-vc,0.6812613805135092
spk_sim,30,seed-vc,0.7427701751391093
spk_sim,60,seed-vc,0.7427392601966858
spk_sim,3,vevo,0.5372684796651205
spk_sim,10,vevo,0.6522900462150574
spk_sim,30,vevo,0.6838915944099426
spk_sim,60,vevo,0.472400705019633
eer,3,knn-vc,0.023333333333333345
eer,10,knn-vc,0.08666666666666667
eer,30,knn-vc,0.09333333333333332
eer,60,knn-vc,0.09333333333333334
eer,3,oovc,0.0066666666666666706
eer,10,oovc,0.010000000000000004
eer,30,oovc,0.010000000000000007
eer,60,oovc,0.013333333333333343
eer,3,palindrome-vc,0.04000000000000002
eer,10,palindrome-vc,0.13333333333333333
eer,30,palindrome-vc,0.16
eer,60,palindrome-vc,0.09666666666666668
eer,3,seed-vc,0.050000000000000024
eer,10,seed-vc,0.15
eer,30,seed-vc,0.24
eer,60,seed-vc,0.18333333333333332
eer,3,vevo,0.03666666666666669
eer,10,vevo,0.13
eer,30,vevo,0.14333333333333334
eer,60,vevo,0.023333333333333345
wer,3,knn-vc,0.3823382357756297
wer,10,knn-vc,0.1371688817938169
wer,30,knn-vc,0.0860704705119133
wer,60,knn-vc,0.06742303942640622
wer,3,oovc,0.10834609965483348
wer,10,oovc,0.09873037040233612
wer,30,oovc,0.10285880913337071
wer,60,oovc,0.10597000767787297
wer,3,palindrome-vc,0.05629967898130417
wer,10,palindrome-vc,0.04777690644065539
wer,30,palindrome-vc,0.057674773037433624
wer,60,palindrome-vc,0.05347153047720591
wer,3,seed-vc,0.06663436690966289
wer,10,seed-vc,0.05743964264790217
wer,30,seed-vc,0.08201584964990616
wer,60,seed-vc,0.084587757786115
wer,3,vevo,0.05452419941624006
wer,10,vevo,0.046204508592685066
wer,30,vevo,0.05446179832021395
wer,60,vevo,0.09758290151755016
cer,3,knn-vc,0.19174339373906454
cer,10,knn-vc,0.057181558261315026
cer,30,knn-vc,0.03171291326483091
cer,60,knn-vc,0.02604568873842557
cer,3,oovc,0.044015237440665565
cer,10,oovc,0.04076494028170904
cer,30,oovc,0.03949599961439768
cer,60,oovc,0.04387435937921206
cer,3,palindrome-vc,0.024389635771512985
cer,10,palindrome-vc,0.019077106068531673
cer,30,palindrome-vc,0.023180481046438217
cer,60,palindrome-vc,0.020537588745355606
cer,3,seed-vc,0.026432720323403675
cer,10,seed-vc,0.026392736782630283
cer,30,seed-vc,0.03729663665095965
cer,60,seed-vc,0.04258853321274122
cer,3,vevo,0.01968350385626157
cer,10,vevo,0.019017323851585388
cer,30,vevo,0.019080609704057377
cer,60,vevo,0.041450527807076774
dns-mos,3,knn-vc,3.5397161642710366
dns-mos,10,knn-vc,3.8618458906809487
dns-mos,30,knn-vc,3.9164536794026694
dns-mos,60,knn-vc,3.9180967807769775
dns-mos,3,oovc,3.7058193683624268
dns-mos,10,oovc,3.7508097489674888
dns-mos,30,oovc,3.7371875445048013
dns-mos,60,oovc,3.7063600222269693
dns-mos,3,palindrome-vc,3.6879018942515054
dns-mos,10,palindrome-vc,3.813900947570801
dns-mos,30,palindrome-vc,3.8448754946390786
dns-mos,60,palindrome-vc,3.8339856465657554
dns-mos,3,seed-vc,3.91968568166097
dns-mos,10,seed-vc,3.93495512008667
dns-mos,30,seed-vc,3.8928157488505044
dns-mos,60,seed-vc,3.8796608448028564
dns-mos,3,vevo,3.981524626413981
dns-mos,10,vevo,3.9568294684092202
dns-mos,30,vevo,3.91437029838562
dns-mos,60,vevo,3.085777680079142
