metric,duration,method,value
spk_sim,3,knn-vc,0.42269353497596013
spk_sim,10,knn-vc,0.5700733888716925
spk_sim,30,knn-vc,0.622734785079956
spk_sim,60,knn-vc,0.6318964475677127
spk_sim,3,oovc,0.3511443251655215
spk_sim,10,oovc,0.38053732826596215
spk_sim,30,oovc,0.39953471223513287
spk_sim,60,oovc,0.40806372392745244
spk_sim,3,palindrome-vc,0.5721534064837864
spk_sim,10,palindrome-vc,0.6697642831575303
spk_sim,30,palindrome-vc,0.6958245180902027
spk_sim,60,palindrome-vc,0.6844975863184247
spk_sim,3,seed-vc,0.6001773845581782
spk_sim,10,seed-vc,0.6780286686761039
spk_sim,30,seed-vc,0.7301225350016639
spk_sim,60,seed-vc,0.7290198632649013
spk_sim,3,vevo,0.5584376198904855
spk_sim,10,vevo,0.6665794764246259
spk_sim,30,vevo,0.6965438979012626
spk_sim,60,vevo,0.4849912808054969
eer,3,knn-vc,0.03018462805588295
eer,10,knn-vc,0.07142857142857145
eer,30,knn-vc,0.13333333333333336
eer,60,knn-vc,0.1323809523809524
eer,3,oovc,0.010000000000000005
eer,10,oovc,0.012857142857142864
eer,30,oovc,0.019523809523809537
eer,60,oovc,0.01761904761904763
eer,3,palindrome-vc,0.08476190476190477
eer,10,palindrome-vc,0.16952380952380958
eer,30,palindrome-vc,0.20571428571428574
eer,60,palindrome-vc,0.1728571428571429
eer,3,seed-vc,0.10333333333333335
eer,10,seed-vc,0.18333333333333335
eer,30,seed-vc,0.2852380952380952
eer,60,seed-vc,0.2590476190476191
eer,3,vevo,0.08142857142857145
eer,10,vevo,0.1619047619047619
eer,30,vevo,0.2147619047619048
eer,60,vevo,0.040476190476190485
wer,3,knn-vc,0.5847072047846658
wer,10,knn-vc,0.22912022364991053
wer,30,knn-vc,0.1420730643329166
wer,60,knn-vc,0.12197791873699143
wer,3,oovc,0.1772172035915511
wer,10,oovc,0.17155471798919497
wer,30,oovc,0.165128645442781
wer,60,oovc,0.17767740041017532
wer,3,palindrome-vc,0.09165810438848677
wer,10,palindrome-vc,0.09237349494582131
wer,30,palindrome-vc,0.09602830026830945
wer,60,palindrome-vc,0.10227861698894274
wer,3,seed-vc,0.1114852623570533
wer,10,seed-vc,0.12127931167682011
wer,30,seed-vc,0.12929021283274605
wer,60,seed-vc,0.13112616539001465
wer,3,vevo,0.090294534606593
wer,10,vevo,0.09460679423950967
wer,30,vevo,0.09094831773212977
wer,60,vevo,0.1648299949509757
cer,3,knn-vc,0.3131268152168819
cer,10,knn-vc,0.09500684642366
cer,30,knn-vc,0.05429171016883282
cer,60,knn-vc,0.04689440574674379
cer,3,oovc,0.07196856112707228
cer,10,oovc,0.06775906132090659
cer,30,oovc,0.06518871124301638
cer,60,oovc,0.07407028174826077
cer,3,palindrome-vc,0.03314982860216072
cer,10,palindrome-vc,0.033686392630139984
cer,30,palindrome-vc,0.03611063247635251
cer,60,palindrome-vc,0.0371821140426965
cer,3,seed-vc,0.049373300125201545
cer,10,seed-vc,0.05962349234947136
cer,30,seed-vc,0.066176073448289
cer,60,seed-vc,0.06213302617626531
cer,3,vevo,0.030167129156844958
cer,10,vevo,0.03355398885018769
cer,30,vevo,0.03341197435344968
cer,60,vevo,0.06928959275994982
dns-mos,3,knn-vc,3.453307095028105
dns-mos,10,knn-vc,3.757645402635847
dns-mos,30,knn-vc,3.8369776748475575
dns-mos,60,knn-vc,3.8451457704816545
dns-mos,3,oovc,3.661229054133097
dns-mos,10,oovc,3.6781755969637917
dns-mos,30,oovc,3.6803679579780217
dns-mos,60,oovc,3.6744771230788458
dns-mos,3,palindrome-vc,3.6184823967161632
dns-mos,10,palindrome-vc,3.7042740299588157
dns-mos,30,palindrome-vc,3.7589659804389592
dns-mos,60,palindrome-vc,3.7953350998106457
dns-mos,3,seed-vc,3.8435465494791665
dns-mos,10,seed-vc,3.8501149813334146
dns-mos,30,seed-vc,3.8408921105521068
dns-mos,60,seed-vc,3.8323049658820745
dns-mos,3,vevo,3.910111699785505
dns-mos,10,vevo,3.880524374189831
dns-mos,30,vevo,3.8495252018883113
dns-mos,60,vevo,3.026215087799799
