Model,Prompt Dur. (s),Spk Sim,EER,WER,CER,MOS,SMOS
Seed-VC,3,0.455,0.007,0.041,0.019,3.545,3.200
Seed-VC,10,0.578,0.060,0.042,0.021,3.000,3.500
Seed-VC,30,0.622,0.083,0.026,0.011,3.666,3.583
Seed-VC,60,0.630,0.090,0.033,0.014,3.400,3.600
KNN-VC,3,0.380,0.033,0.430,0.277,1.182,1.500
KNN-VC,10,0.552,0.053,0.115,0.062,2.588,2.642
KNN-VC,30,0.617,0.070,0.042,0.018,3.500,3.500
KNN-VC,60,0.631,0.073,0.046,0.020,3.000,2.800
Vevo,3,0.510,0.047,0.038,0.013,3.909,4.100
Vevo,10,0.639,0.133,0.033,0.011,3.765,4.071
Vevo,30,0.651,0.093,0.022,0.007,3.750,3.750
Vevo,60,0.332,0.010,0.197,0.129,1.300,1.200
O_O-VC,3,0.368,0.010,0.050,0.018,3.636,3.500
O_O-VC,10,0.419,0.020,0.036,0.019,3.588,4.071
O_O-VC,30,0.431,0.007,0.038,0.013,3.583,3.666
O_O-VC,60,0.453,0.010,0.031,0.012,3.800,3.100
Ours,3,0.612,0.097,0.056,0.023,3.455,3.300
Ours,10,0.713,0.180,0.049,0.022,3.647,4.000
Ours,30,0.717,0.170,0.047,0.019,3.666,3.583
Ours,60,0.712,0.150,0.050,0.021,3.800,3.300
